id,name,channel,start_date,end_date,cost,revenue,profit_margin,product_id
1,Sommerkampagne,Facebook,2025-06-01,2025-06-30,10000,25000,0.6,1
2,Vintertilbud,Instagram,2025-12-01,2025-12-15,8000,20000,0.65,2
3,Back-to-school kampagne,YouTube,2025-08-10,2025-08-31,15000,40000,0.625,3
4,Sommerkampagne,Instagram,2025-06-15,2025-06-30,12000,28000,0.58,1
5,Back-to-school kampagne,TikTok,2025-08-01,2025-08-25,13000,32000,0.61,4
6,Julekampagne,Facebook,2025-12-10,2025-12-26,10000,23000,0.59,5
7,Nytårssalg,YouTube,2026-01-01,2026-01-07,9000,22000,0.62,6
8,Forårskampagne,Instagram,2025-03-10,2025-03-31,6000,15000,0.6,7
9,Efterårskampagne,Facebook,2025-10-05,2025-10-25,11000,24000,0.57,8
10,Sommerkampagne,TikTok,2025-07-01,2025-07-14,9500,21000,0.55,1
11,Vintertilbud,YouTube,2025-12-05,2025-12-20,10000,27000,0.61,2
12,Black Friday,Instagram,2025-11-28,2025-11-30,18000,45000,0.66,9
13,Back-to-school kampagne,Facebook,2025-08-05,2025-08-20,14000,35000,0.6,3
14,Julekampagne,Instagram,2025-12-15,2025-12-31,9500,24000,0.62,10
15,Påsketilbud,Facebook,2025-04-01,2025-04-12,7000,17000,0.59,11
16,Kampagne Uge 42,YouTube,2025-10-12,2025-10-18,6000,16000,0.65,12
17,Sommerkampagne,YouTube,2025-07-15,2025-07-31,11500,25000,0.6,13
18,Vintertilbud,TikTok,2025-11-20,2025-12-05,10500,22000,0.57,2
19,Efterårskampagne,Instagram,2025-10-01,2025-10-14,9000,21000,0.6,14
20,Black Friday,Facebook,2025-11-29,2025-12-01,16000,42000,0.68,15
21,Cyber Monday,Instagram,2025-12-02,2025-12-02,5000,14000,0.65,16
22,Forårskampagne,TikTok,2025-03-05,2025-03-20,6500,16000,0.62,17
23,Nytårssalg,YouTube,2026-01-02,2026-01-05,7000,19000,0.64,18
24,Sommerkampagne,Instagram,2025-07-01,2025-07-10,9800,24000,0.61,19
25,Back-to-school kampagne,Facebook,2025-08-01,2025-08-20,12500,30000,0.6,20
26,Januar Kickstart,TikTok,2026-01-10,2026-01-20,9000,21000,0.63,21
27,Mors Dag kampagne,Instagram,2025-05-05,2025-05-09,4800,13000,0.6,22
28,Fars Dag kampagne,Facebook,2025-06-04,2025-06-07,5500,14000,0.61,23
29,Weekend Deal,YouTube,2025-09-05,2025-09-07,3000,9000,0.66,24
30,Weekend Deal,Instagram,2025-11-08,2025-11-09,3200,10000,0.68,24
31,Halloween Sale,TikTok,2025-10-28,2025-10-31,7000,17000,0.6,25
32,Weekend Boost,Facebook,2025-09-18,2025-09-20,4000,11000,0.65,26
33,Julestart,Instagram,2025-11-15,2025-11-30,10500,26000,0.61,27
